titre,prix,disponible,image,stock
Chouchou Blanc Satiné Large,9,chouchou-blanc-satin.png,5
Chouchou Blanc à pois noirs,9,chouchou-blanc-pois-noirs.png,2
Chouchous Verts, 9, chouchous-verts.jpg
